Stroma_cell
WDFY4
C10orf128
PRKG1
SRGN
PALD1
PRF1
C10orf54
SPOCK2
MMRN2
ANKRD22
ACTA2-AS1
CH25H
FRAT1
ITPRIP
VENTX
LSP1
ASCL2
C11orf21
KCNQ1
OR51E1
HBB
DCHS1
GVINP1
MRVI1-AS1
LYVE1
MRVI1
LMO2
SPI1
FOLH1
APLNR
SLC43A1
MPEG1
MS4A6A
MS4A4E
MS4A4A
MS4A7
MS4A14
CD6
CD5
FERMT3
RASGRP2
NAALADL1
CTSW
CD248
TBC1D10C
CABP4
ANO1
ANO1-AS1
FOLR2
SLCO2B1
LRRC32
TRPC6
MMP12
CARD16
GUCY1A2
ARHGAP20
POU2AF1
ZBTB16
TAGLN
IL10RA
AMICA1
CD3E
CD3D
CD3G
MCAM
THY1
CRTAM
ESAM
ROBO4
SLC37A2
FLI1
KCNJ5
ST14
JAM3
VWF
LPAR5
CD4
CD163
C3AR1
CLEC4A
A2M-AS1
A2M
A2MP1
KLRB1
CD69
CLEC12A
CLEC1A
CLEC7A
OLR1
KLRD1
APOLD1
C12orf60
MGP
ARHGDIB
PDE3A
KCNJ8
ABCC9
LRMP
ABCD2
PCED1B-AS1
BIN2
ACVRL1
GPR84
NCKAP1L
TESPA1
ARHGAP9
AVPR1A
IRAK3
LYZ
PTPRB
LUM
IGF1
CMKLR1
TMEM119
SELPLG
SDS
TMEM233
FLT1
LINC00426
ALOX5AP
MEDAG
POSTN
TRPC4
RGCC
LCP1
KIAA0226L
ARL11
DLEU7
PCDH17
EDNRB
GPR183
TNFSF13B
TMEM255B
RNASE6
RNASE1
RNASE2
TRDC
TRAC
EFS
ADCY4
RIPK3
GZMH
GZMB
CLEC14A
GNG2
PTGDR
RTN1
PRKCH
RHOJ
BATF
VASH1
GPR65
KCNK13
SYNE3
IGHA2
IGHG4
IGHG2
IGHGP
IGHA1
IGHG1
IGHG3
IGHM
IGHV6-1
IGHV1-2
IGHV1-3
IGHV4-4
IGHV2-5
IGHV3-7
IGHV3-11
IGHV3-13
IGHV3-15
IGHV1-18
IGHV3-20
IGHV3-21
IGHV3-23
IGHV1-24
IGHV3-30
IGHV3-33
IGHV4-34
IGHV4-39
IGHV1-46
IGHV3-48
IGHV3-49
IGHV5-51
IGHV4-59
IGHV3-66
IGHV1-69
IGHV2-70
IGHV1-69-2
IGHV3-72
IGHV3-74
IGHV1OR15-1
BMF
PLCB2
DLL4
ATP8B4
HDC
TNFAIP8L3
GLDN
TMOD2
RASL12
ITGA11
ISLR
CSPG4
PSTPIP1
LINGO1
BCL2A1
IL16
TM6SF1
ACAN
HAPLN3
FES
RGMA
LINC01197
LINC00924
HBA2
HBA1
TPSB2
TPSAB1
TMEM204
MEFV
XYLT1
IGSF6
HS3ST2
PRKCB
IL21R
IL21R-AS1
APOBR
SPN
C16orf54
CORO1A
ITGAL
ITGAM
ITGAX
IGHV3OR16-9
IGHV3OR16-13
ZNF423
SNX20
CETP
ADGRG3
CDH5
RLTPR
DPEP2
CDH13
CRISPLD2
IRF8
FOXF1
ZNF469
SNAI3
CBFA2T3
SCARF1
P2RX1
ATP2A3
VMO1
SCIMP
BCL6B
CLEC10A
ACAP1
ATP1B2
ALOX15B
ARHGEF15
PIK3R6
PIK3R5
GAS7
TRPV2
GRAP
GRAPL
EVI2B
EVI2A
CCL8
CCL13
SLFN12L
CCL5
CCL18
CCL3
CCL4
PLXDC1
IKZF3
RAMP2
AOC3
TBX21
GNGT2
ABI3
PHOSPHO1
TBX2
ACE
CD79B
PRR29
ICAM2
PECAM1
MILR1
KCNJ2
TTYH2
CD300A
CD300C
CD300E
CD300LF
CYGB
TMC6
TMC8
CD7
SECTM1
COLEC12
APCDD1
PIEZO2
LDLRAD4
RNF125
TCF4
GZMM
CFD
C19orf35
LINGO3
GNA15
S1PR4
GIPC3
TBXA2R
MATK
EBI3
SEMA6B
VAV1
ADGRE1
ADGRE4P
CD209
PRAM1
MYO1F
ZNF812
C19orf38
CNN1
LYL1
ADGRE2
NOTCH3
RASAL3
F2RL3
USHBP1
PLVAP
IL12RB1
IFI30
LRRC25
HAMP
HCST
TYROBP
PPP1R14A
RASGRP4
MAP4K1
GMFG
FCGBP
PCAT19
CEACAM21
POU2F2
APOE
APOC1
EXOC3L2
GPR4
NOVA2
PNMAL2
PTGIR
DACT3
C5AR1
C5AR2
RASIP1
HRC
CD37
RCN3
SIGLEC11
NAPSB
SIGLEC9
SIGLEC7
CD33
NKG7
SIGLEC10
SIGLEC8
SIGLEC14
FPR1
FPR2
FPR3
ZNF677
LILRB2
LILRB5
LAIR1
LILRB1
LILRB4
TMEM150B
ZNF542P
ZNF667
ZNF667-AS1
ZNF471
ZNF154
SIRPB2
SIRPG
CPXM1
SIGLEC1
HSPA12B
CD93
CST7
COX4I2
HCK
PPP1R16B
MAFB
TOX2
MMP9
PREX1
LINC01272
CBLN4
CASS4
ZBP1
ZNF831
SOX18
SAMSN1
CYYR1
ADAMTS5
TIAM1
ERG
UBASH3A
TRPM2
ITGB2
S100B
VWFP1
CECR1
CLDN5
IGLV4-69
IGLV8-61
IGLV6-57
IGLV10-54
IGLV1-51
IGLV1-47
IGLV7-46
IGLV1-44
IGLV1-40
IGLV3-25
IGLV2-23
IGLV3-21
IGLV3-19
IGLV2-18
IGLV2-14
IGLV2-11
IGLV3-10
IGLV2-8
IGLV3-1
IGLJ2
IGLC2
IGLC3
IGLC5
IGLC6
IGLC7
GGT5
MIAT
OSM
TIMP3
APOL4
NCF4
CSF2RB
IL2RB
CYTH4
GRAP2
NFAM1
PARVG
C22orf34
CSF2RA
IL3RA
P2RY8
ANOS1
TLR7
TLR8
CXorf21
CYBB
GPR34
GPR82
CXorf36
WAS
VSIG4
HEPH
IL2RG
CXCR3
CYSLTR1
P2RY10
GPR174
BTK
TSC22D3
SH2D1A
SASH3
CD40LG
BGN
GAB3
CLIC2
